statefip,puma,mpop2000,pumapop2000,mpopshare2000,metropuma03,mpop2010,pumapop2010,mpopshare2010,metropuma13
6,3758,152171,152171,1,1,153930,153930,1,1
6,3759,112346,112346,1,1,112990,112990,1,1
6,3760,131641,131641,1,1,138043,138043,1,1
6,3761,118468,118468,1,1,125349,125349,1,1
6,3762,110225,110225,1,1,112822,112822,1,1
6,3763,139797,139797,1,1,142620,142620,1,1
6,3764,160745,160745,1,1,159116,159116,1,1
6,3765,127541,127541,1,1,130093,130093,1,1
6,3766,101382,101382,1,1,102211,102211,1,1
6,3767,174555,174555,1,1,177298,177298,1,1
6,3768,109219,109219,1,1,111454,111454,1,1
6,3769,104844,104844,1,1,100665,100665,1,1
6,3900,123109,123109,1,1,150865,150865,1,1
6,4101,100941,100941,1,1,104847,104847,1,1
6,4102,146348,146348,1,1,147562,147562,1,1
6,4701,86279,86279,1,1,104617,104617,1,1
6,4702,124858,124858,1,1,151176,151176,1,1
6,5301,181466,181466,1,1,174967,174967,1,1
6,5302,163419,163419,1,1,163203,163203,1,1
6,5303,119209,119209,1,1,132156,132156,1,1
6,5500,124279,124279,1,1,136484,136484,1,1
6,5700,0,95588,0,0,0,102004,0,0
6,5901,176679,176679,1,1,177692,177692,1,1
6,5902,105510,105510,1,1,105909,105909,1,1
6,5903,176514,176514,1,1,198777,198777,1,1
6,5904,154994,154994,1,1,200200,200200,1,1
6,5905,175363,175363,1,1,197457,197457,1,1
6,5906,167134,167134,1,1,177007,177007,1,1
6,5907,177865,177865,1,1,189619,189619,1,1
6,5908,174593,174593,1,1,177943,177943,1,1
6,5909,143109,143109,1,1,146177,146177,1,1
6,5910,179971,179971,1,1,190565,190565,1,1
6,5911,137557,137557,1,1,137924,137924,1,1
6,5912,164088,164088,1,1,166905,166905,1,1
6,5913,153421,153421,1,1,159887,159887,1,1
6,5914,190237,190237,1,1,190243,190243,1,1
6,5915,62683,62683,1,1,100044,100044,1,1
6,5916,157415,157415,1,1,151620,151620,1,1
6,5917,172536,172536,1,1,164806,164806,1,1
6,5918,176631,176631,1,1,177457,177457,1,1
6,6101,82322,82322,1,1,124136,124136,1,1
6,6102,59769,59769,1,1,112465,112465,1,1
6,6103,106297,106297,1,1,111831,111831,1,1
6,6501,128365,128365,1,1,180218,180218,1,1
6,6502,113520,113520,1,1,131017,131017,1,1
6,6503,77622,77622,1,1,127500,127500,1,1
6,6504,64533,64533,1,1,126833,126833,1,1
6,6505,109580,109580,1,1,175913,175913,1,1
6,6506,97668,97668,1,1,147650,147650,1,1
6,6507,88387,88387,1,1,144045,144045,1,1
6,6508,132750,132750,1,1,182352,182352,1,1
6,6509,68684,68684,1,1,117862,117862,1,1
6,6510,124087,124087,1,1,147162,147162,1,1
6,6511,146054,146054,1,1,164560,164560,1,1
6,6512,63399,63399,1,1,100465,100465,1,1
6,6513,131597,131597,1,1,145277,145277,1,1
6,6514,85109,85109,1,1,148672,148672,1,1
